"Reference","Value","Footprint","Qty","Mfg Part#"
"C1,C4,C5,C6,C7,C8","100nF","Capacitor_SMD:C_0805_2012Metric","6",""
"C2,C3","1.0uF","Capacitor_SMD:C_0805_2012Metric","2",""
"C9,C10","20pF","Capacitor_SMD:C_0805_2012Metric","2",""
"C11,C12","4.3pF","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","GREEN","LED_SMD:LED_0805_2012Metric","1",""
"D2","RED","LED_SMD:LED_0805_2012Metric","1",""
"J1","1.27, 2x5, Male, TH","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","1",""
"J2,J5","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J3","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"J6","USB4105-GF-A-060","SparkFun-Connector:USB-C_16","1",""
"Q1","DMP6350S","SparkFun-Semiconductor-Standard:SOT23-3","1",""
"R1,R2","49.9K","Resistor_SMD:R_0805_2012Metric","2",""
"R3","150K","Resistor_SMD:R_0805_2012Metric","1",""
"R4,R5","10M","Resistor_SMD:R_0805_2012Metric","2",""
"R6","10K","Resistor_SMD:R_0805_2012Metric","1",""
"R8","510","Resistor_SMD:R_0805_2012Metric","1",""
"R9","330","Resistor_SMD:R_0805_2012Metric","1",""
"R10,R11","100","Resistor_SMD:R_0805_2012Metric","2",""
"SW1,SW2","SMD_4.6x2.8mm_h1.9mm","SparkFun-Switch:Push_SMD_4.6x2.8mm","2",""
"U1","STM32F030C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U2","GD25Q16CSJGR ","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","1",""
"U3,U4","LM321","Package_TO_SOT_SMD:SOT-23-5","2",""
"U6","MIC5504-3.3YM5","Package_TO_SOT_SMD:SOT-23-5","1",""
"Y1","8.0MHz H130A-8.000-18-2030-EXT-TR","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","1",""
"Y2","32.768 KHz CC7V-T1A","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm","1",""
